dropout_p,seq_id,true_label,act_fixed_50,act_fixed_10,act_rule,act_supervised,act_ppo_42,act_ppo_123,act_ppo_456,act_oracle,j_oracle,j_ppo_456,ppo_regret
0.4000,64,Cyclist,50,10,10,5,5,5,10,10,1.2433,1.2433,0.0000
0.4000,65,Pedestrian,50,10,10,5,5,5,10,5,1.1426,1.1550,0.0123
0.4000,66,Vehicle,50,10,10,5,5,5,10,5,1.5849,1.5907,0.0057
0.4000,67,Empty,50,10,10,5,5,5,10,5,1.4248,1.4629,0.0380
0.4000,68,Empty,50,10,10,5,5,5,10,5,0.0117,0.0217,0.0100
0.4000,69,Vehicle,50,10,10,5,5,5,10,5,0.3050,0.3149,0.0098
0.4000,70,Cyclist,50,10,10,5,5,5,10,5,0.0205,0.0305,0.0099
0.4000,71,Cyclist,50,10,10,5,5,5,10,10,1.2441,1.2441,0.0000
0.4000,72,Empty,50,10,10,5,5,5,10,5,1.3895,1.4114,0.0219
0.4000,73,Vehicle,50,10,10,5,5,5,10,5,0.0122,0.0221,0.0099
0.4000,74,Cyclist,50,10,10,5,5,5,10,5,0.0131,0.0229,0.0098
0.5000,0,Empty,50,10,10,5,5,5,10,5,1.4235,1.4534,0.0298
0.5000,1,Pedestrian,50,10,10,5,5,5,10,5,1.1384,1.1607,0.0224
0.5000,2,Cyclist,50,10,10,5,5,5,10,5,0.3151,0.3249,0.0099
0.5000,3,Vehicle,50,10,10,5,5,5,10,10,1.5588,1.5588,0.0000
0.5000,4,Vehicle,50,10,10,5,5,5,10,5,1.6179,1.6279,0.0100
0.5000,5,Cyclist,50,10,10,5,5,5,10,5,0.0128,0.0227,0.0099
0.5000,6,Vehicle,50,10,10,5,5,5,10,5,0.0152,0.0250,0.0098
0.5000,7,Vehicle,50,10,10,5,5,5,10,10,1.6147,1.6147,0.0000
0.5000,8,Pedestrian,50,10,10,5,5,5,10,5,1.1590,1.1918,0.0328
0.5000,9,Empty,50,10,10,5,5,5,10,5,1.4363,1.4643,0.0280
0.5000,10,Pedestrian,50,10,10,5,5,5,10,5,0.0164,0.0264,0.0100
