Step,Weight_Norm,Abs_Error_m
792,0.02238,0.03835
793,0.02240,0.03275
794,0.02243,0.03948
795,0.02247,0.04363
796,0.02249,0.02507
797,0.02253,0.03563
798,0.02255,0.03896
799,0.02257,0.02824
800,0.02260,0.02408
801,0.02257,0.07809
802,0.02258,0.02838
803,0.02258,0.01520
804,0.02259,0.01754
805,0.02260,0.01690
806,0.02262,0.02021
807,0.02263,0.02018
808,0.02265,0.03204
809,0.02266,0.02135
810,0.02267,0.02632
811,0.02269,0.02348
812,0.02271,0.02006
813,0.02273,0.02576
814,0.02276,0.03603
815,0.02278,0.03283
816,0.02278,0.06844
817,0.02282,0.04658
818,0.02283,0.06229
819,0.02287,0.04967
820,0.02290,0.04621
821,0.02294,0.03884
822,0.02296,0.03632
823,0.02297,0.03688
824,0.02299,0.03316
825,0.02301,0.02587
826,0.02303,0.02487
827,0.02303,0.04171
828,0.02304,0.03414
829,0.02305,0.02964
830,0.02306,0.02867
831,0.02306,0.02937
832,0.02309,0.03678
833,0.02312,0.02327
834,0.02318,0.03585
835,0.02324,0.03638
836,0.02325,0.03010
837,0.02330,0.03385
838,0.02335,0.03197
839,0.02339,0.03077
840,0.02343,0.02973
841,0.02347,0.02823
842,0.02349,0.01796
843,0.02350,0.01313
844,0.02352,0.01336
845,0.02354,0.02409
846,0.02355,0.01740
847,0.02357,0.01534
848,0.02358,0.01905
849,0.02365,0.02992
850,0.02371,0.02930
851,0.02377,0.03244
852,0.02381,0.03121
853,0.02384,0.02417
854,0.02388,0.02403
855,0.02392,0.02623
856,0.02394,0.02584
857,0.02398,0.02457
858,0.02400,0.02233
859,0.02403,0.01872
860,0.02406,0.02235
861,0.02408,0.01955
862,0.02410,0.02805
863,0.02412,0.01477
864,0.02414,0.02172
865,0.02416,0.07883
866,0.02416,0.03643
867,0.02418,0.03246
868,0.02419,0.03324
869,0.02421,0.04189
870,0.02423,0.03761
871,0.02424,0.04797
872,0.02426,0.04726
873,0.02429,0.05349
874,0.02432,0.04916
875,0.02435,0.04820
876,0.02438,0.05317
877,0.02441,0.06270
878,0.02444,0.05540
879,0.02448,0.05234
880,0.02451,0.07696
881,0.02455,0.04076
882,0.02457,0.03469
883,0.02460,0.02783
884,0.02463,0.03245
885,0.02465,0.02719
886,0.02467,0.03250
887,0.02469,0.03726
888,0.02472,0.02090
889,0.02473,0.02182
890,0.02475,0.01752
891,0.02476,0.02575
892,0.02477,0.02277
893,0.02477,0.02422
894,0.02478,0.01652
895,0.02479,0.01206
896,0.02481,0.03402
897,0.02481,0.06739
898,0.02484,0.02722
899,0.02487,0.02693
900,0.02489,0.02448
901,0.02492,0.03495
902,0.02495,0.02997
903,0.02497,0.01551
904,0.02498,0.01274
905,0.02499,0.01189
906,0.02500,0.01639
907,0.02502,0.01616
908,0.02503,0.01217
909,0.02503,0.01994
910,0.02503,0.00742
911,0.02504,0.01587
912,0.02504,0.03640
913,0.02503,0.02291
914,0.02503,0.01632
915,0.02503,0.01643
916,0.02502,0.02117
917,0.02502,0.02923
918,0.02502,0.02070
919,0.02503,0.02649
920,0.02503,0.03064
921,0.02504,0.02705
922,0.02504,0.02141
923,0.02505,0.03616
924,0.02506,0.02039
925,0.02507,0.02953
926,0.02508,0.02168
927,0.02510,0.02579
928,0.02512,0.01449
929,0.02510,0.09579
930,0.02515,0.04624
931,0.02518,0.04322
932,0.02521,0.03256
933,0.02524,0.03214
934,0.02527,0.03087
935,0.02529,0.03400
936,0.02531,0.03182
937,0.02533,0.01901
938,0.02536,0.01979
939,0.02537,0.02127
940,0.02540,0.02082
941,0.02543,0.02013
942,0.02545,0.01911
943,0.02547,0.01386
944,0.02546,0.02966
945,0.02546,0.03069
946,0.02546,0.01431
947,0.02546,0.01810
948,0.02547,0.02079
949,0.02548,0.01931
950,0.02549,0.01684
951,0.02549,0.01719
952,0.02550,0.01989
953,0.02550,0.03033
954,0.02551,0.01670
955,0.02553,0.01938
956,0.02554,0.01829
957,0.02555,0.02509
958,0.02556,0.02086
959,0.02558,0.02764
960,0.02560,0.05597
961,0.02560,0.01175
962,0.02560,0.01418
963,0.02560,0.00821
964,0.02561,0.01661
965,0.02560,0.02809
966,0.02561,0.01897
967,0.02561,0.01838
968,0.02562,0.01996
969,0.02563,0.02506
970,0.02564,0.01560
971,0.02565,0.02068
972,0.02566,0.01318
973,0.02567,0.03005
974,0.02569,0.01913
975,0.02570,0.01953
976,0.02572,0.03831
977,0.02571,0.03956
978,0.02571,0.01213
979,0.02571,0.01375
980,0.02572,0.01662
981,0.02572,0.02265
982,0.02572,0.02400
983,0.02573,0.01646
984,0.02575,0.01590
985,0.02575,0.02899
986,0.02575,0.01786
987,0.02576,0.02147
988,0.02578,0.01985
989,0.02579,0.01949
990,0.02580,0.02423
991,0.02580,0.03011
992,0.02582,0.02414
993,0.02582,0.04800
994,0.02582,0.01501
995,0.02582,0.02287
996,0.02583,0.02237
997,0.02585,0.03186
998,0.02586,0.02923
999,0.02587,0.02079
1000,0.02588,0.02863
