dataset_scale,window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
medium,8,456,bernoulli_dropout,0.100000,B2_Mamba,76800,0.120357,0.162219,0.346926,0.011959,0.031043,1.688274,71.013672
medium,8,456,bernoulli_dropout,0.200000,B0_Persistence,0,0.055491,0.053050,0.235565,0.012806,0.022624,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.200000,B1_Framewise,33344,0.133084,0.149543,0.364807,0.030712,0.058572,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.200000,B2_Mamba,76800,0.100399,0.147591,0.316858,0.023169,0.059739,1.536708,71.013672
medium,8,456,bernoulli_dropout,0.300000,B0_Persistence,0,0.054814,0.054157,0.234123,0.017393,0.026539,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.300000,B1_Framewise,33344,0.129382,0.147122,0.359698,0.041054,0.066667,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.300000,B2_Mamba,76800,0.103560,0.144580,0.321808,0.032860,0.068617,1.287846,71.013672
medium,8,456,bernoulli_dropout,0.400000,B0_Persistence,0,0.087931,0.070701,0.296531,0.030156,0.033680,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.400000,B1_Framewise,33344,0.129135,0.149671,0.359353,0.044287,0.071329,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.400000,B2_Mamba,76800,0.109535,0.147775,0.330961,0.037565,0.073524,1.300915,71.013672
medium,8,456,bernoulli_dropout,0.500000,B0_Persistence,0,0.073663,0.065149,0.271410,0.035415,0.043045,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.500000,B1_Framewise,33344,0.124202,0.146569,0.352424,0.059713,0.089202,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.500000,B2_Mamba,76800,0.101713,0.144461,0.318925,0.048901,0.092703,1.669141,71.013672
medium,8,456,contiguous_gap,1.000000,B0_Persistence,0,0.042205,0.045375,0.205438,0.005276,0.012964,0.500000,71.013672
medium,8,456,contiguous_gap,1.000000,B1_Framewise,33344,0.118696,0.142202,0.344523,0.014837,0.040629,0.500000,71.013672
medium,8,456,contiguous_gap,1.000000,B2_Mamba,76800,0.081217,0.128597,0.284986,0.010152,0.036742,0.500000,71.013672
medium,8,456,contiguous_gap,2.000000,B0_Persistence,0,0.049807,0.051046,0.223174,0.012452,0.021959,0.500000,71.013672
medium,8,456,contiguous_gap,2.000000,B1_Framewise,33344,0.121169,0.143672,0.348094,0.030292,0.048424,0.500000,71.013672
medium,8,456,contiguous_gap,2.000000,B2_Mamba,76800,0.097480,0.135771,0.312217,0.024370,0.050011,0.500000,71.013672
medium,8,456,contiguous_gap,4.000000,B0_Persistence,0,0.060873,0.062311,0.246725,0.030437,0.041278,0.500000,71.013672
medium,8,456,contiguous_gap,4.000000,B1_Framewise,33344,0.123923,0.145910,0.352026,0.061961,0.065075,0.500000,71.013672
medium,8,456,contiguous_gap,4.000000,B2_Mamba,76800,0.106560,0.139628,0.326436,0.053280,0.069646,0.500000,71.013672
medium,16,42,bernoulli_dropout,0.100000,B0_Persistence,0,0.030028,0.038284,0.173285,0.003027,0.007422,0.100000,73.762207
medium,16,42,bernoulli_dropout,0.100000,B1_Framewise,33344,0.129464,0.148293,0.359811,0.013051,0.026441,0.100000,73.762207
medium,16,42,bernoulli_dropout,0.100000,B2_Mamba,76800,0.091043,0.141054,0.301733,0.009178,0.025667,2.589184,73.762207
medium,16,42,bernoulli_dropout,0.200000,B0_Persistence,0,0.053541,0.053734,0.231389,0.011442,0.020948,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.200000,B1_Framewise,33344,0.128938,0.149855,0.359080,0.027555,0.053720,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.200000,B2_Mamba,76800,0.100289,0.149085,0.316685,0.021433,0.054778,3.422545,73.807129
medium,16,42,bernoulli_dropout,0.300000,B0_Persistence,0,0.059598,0.054789,0.244128,0.017062,0.026365,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.300000,B1_Framewise,33344,0.130080,0.147742,0.360666,0.037241,0.065587,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.300000,B2_Mamba,76800,0.100876,0.145874,0.317609,0.028880,0.066758,3.080268,73.807129
medium,16,42,bernoulli_dropout,0.400000,B0_Persistence,0,0.057550,0.056083,0.239897,0.023554,0.035042,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.400000,B1_Framewise,33344,0.130196,0.149407,0.360827,0.053286,0.080561,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.400000,B2_Mamba,76800,0.103769,0.143282,0.322132,0.042470,0.082450,3.375197,73.807129
medium,16,42,bernoulli_dropout,0.500000,B0_Persistence,0,0.051194,0.053339,0.226261,0.025803,0.038619,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.500000,B1_Framewise,33344,0.130344,0.148783,0.361031,0.065697,0.087200,0.100000,73.807129
medium,16,42,bernoulli_dropout,0.500000,B2_Mamba,76800,0.103064,0.141346,0.321036,0.051948,0.088900,3.660539,73.807129
medium,16,42,contiguous_gap,1.000000,B0_Persistence,0,0.031526,0.036844,0.177556,0.001970,0.004913,0.500000,73.807129
medium,16,42,contiguous_gap,1.000000,B1_Framewise,33344,0.094100,0.129982,0.306757,0.005881,0.017331,0.500000,73.807129
medium,16,42,contiguous_gap,1.000000,B2_Mamba,76800,0.072849,0.117497,0.269906,0.004553,0.015666,0.500000,73.807129
medium,16,42,contiguous_gap,2.000000,B0_Persistence,0,0.032356,0.039650,0.179878,0.004044,0.007855,0.500000,73.807129
medium,16,42,contiguous_gap,2.000000,B1_Framewise,33344,0.096881,0.131337,0.311257,0.012110,0.020080,0.500000,73.807129
medium,16,42,contiguous_gap,2.000000,B2_Mamba,76800,0.079059,0.120786,0.281174,0.009882,0.020164,0.500000,73.807129
medium,16,42,contiguous_gap,4.000000,B0_Persistence,0,0.036028,0.046414,0.189810,0.009007,0.013947,0.500000,73.807129
medium,16,42,contiguous_gap,4.000000,B1_Framewise,33344,0.102436,0.134071,0.320057,0.025609,0.025698,0.500000,73.807129
medium,16,42,contiguous_gap,4.000000,B2_Mamba,76800,0.088794,0.125853,0.297983,0.022199,0.030253,0.500000,73.807129
medium,16,42,contiguous_gap,8.000000,B0_Persistence,0,0.038500,0.052678,0.196214,0.019250,0.024895,0.500000,73.807129
medium,16,42,contiguous_gap,8.000000,B1_Framewise,33344,0.113519,0.139190,0.336926,0.056760,0.037004,0.500000,73.807129
medium,16,42,contiguous_gap,8.000000,B2_Mamba,76800,0.110444,0.137958,0.332332,0.055222,0.042884,0.500000,73.807129
medium,16,123,bernoulli_dropout,0.100000,B0_Persistence,0,0.041197,0.043163,0.202969,0.004983,0.010212,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.100000,B1_Framewise,33344,0.110521,0.139366,0.332447,0.013369,0.031077,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.100000,B2_Mamba,76800,0.082761,0.139570,0.287682,0.010011,0.031470,3.136432,73.807129
medium,16,123,bernoulli_dropout,0.200000,B0_Persistence,0,0.054483,0.050698,0.233416,0.012303,0.019103,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.200000,B1_Framewise,33344,0.131819,0.149606,0.363069,0.029766,0.053060,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.200000,B2_Mamba,76800,0.100765,0.150967,0.317436,0.022753,0.055165,3.130548,73.807129
medium,16,123,bernoulli_dropout,0.300000,B0_Persistence,0,0.047113,0.049203,0.217056,0.013013,0.023635,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.300000,B1_Framewise,33344,0.127277,0.147055,0.356759,0.035155,0.066034,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.300000,B2_Mamba,76800,0.093139,0.148692,0.305187,0.025726,0.067478,3.253206,73.807129
medium,16,123,bernoulli_dropout,0.400000,B0_Persistence,0,0.060540,0.057515,0.246049,0.023679,0.034240,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.400000,B1_Framewise,33344,0.129848,0.149059,0.360345,0.050788,0.080728,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.400000,B2_Mamba,76800,0.097950,0.149631,0.312970,0.038311,0.083967,3.209987,73.807129
medium,16,123,bernoulli_dropout,0.500000,B0_Persistence,0,0.061528,0.057083,0.248049,0.030144,0.040825,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.500000,B1_Framewise,33344,0.127259,0.147651,0.356734,0.062347,0.092698,0.100000,73.807129
medium,16,123,bernoulli_dropout,0.500000,B2_Mamba,76800,0.094930,0.143075,0.308107,0.046508,0.094512,3.200090,73.807129
medium,16,123,contiguous_gap,1.000000,B0_Persistence,0,0.031526,0.036844,0.177556,0.001970,0.004913,0.500000,73.807129
medium,16,123,contiguous_gap,1.000000,B1_Framewise,33344,0.092711,0.129385,0.304484,0.005794,0.017251,0.500000,73.807129
