window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
16,123,contiguous_gap,8.000000,B0_Persistence,0,0.362505,0.154161,0.602084,0.181253,0.083613,0.500000,66.783691
16,123,contiguous_gap,8.000000,B1_Framewise,33344,0.187994,0.149025,0.433582,0.093997,0.082239,0.500000,66.783691
16,123,contiguous_gap,8.000000,B2_Mamba,76800,0.231938,0.170071,0.481600,0.115969,0.099392,0.500000,66.783691
16,456,bernoulli_dropout,0.100000,B0_Persistence,0,0.216666,0.113097,0.465474,0.021667,0.020943,0.100000,66.783691
16,456,bernoulli_dropout,0.100000,B1_Framewise,33344,0.187792,0.150282,0.433350,0.018779,0.028032,0.100000,66.783691
16,456,bernoulli_dropout,0.100000,B2_Mamba,76800,0.312300,0.201788,0.558838,0.031230,0.039155,5.869160,66.783691
16,456,bernoulli_dropout,0.200000,B0_Persistence,0,0.238796,0.122456,0.488668,0.056714,0.050530,0.100000,66.783691
16,456,bernoulli_dropout,0.200000,B1_Framewise,33344,0.193370,0.154863,0.439739,0.045925,0.060089,0.100000,66.783691
16,456,bernoulli_dropout,0.200000,B2_Mamba,76800,0.256019,0.181007,0.505984,0.060805,0.075276,6.190880,66.783691
16,456,bernoulli_dropout,0.300000,B0_Persistence,0,0.226590,0.117659,0.476015,0.076474,0.072426,0.100000,66.783691
16,456,bernoulli_dropout,0.300000,B1_Framewise,33344,0.175359,0.150024,0.418759,0.059184,0.084136,0.100000,66.783691
16,456,bernoulli_dropout,0.300000,B2_Mamba,76800,0.278563,0.195555,0.527790,0.094015,0.116003,6.026260,66.783691
16,456,bernoulli_dropout,0.400000,B0_Persistence,0,0.268780,0.132371,0.518440,0.087354,0.063211,0.100000,66.783691
16,456,bernoulli_dropout,0.400000,B1_Framewise,33344,0.178893,0.149730,0.422957,0.058140,0.075300,0.100000,66.783691
16,456,bernoulli_dropout,0.400000,B2_Mamba,76800,0.230047,0.182065,0.479632,0.074765,0.093289,6.083960,66.783691
16,456,bernoulli_dropout,0.500000,B0_Persistence,0,0.231138,0.121322,0.480769,0.121348,0.095712,0.100000,66.783691
16,456,bernoulli_dropout,0.500000,B1_Framewise,33344,0.175914,0.149744,0.419421,0.092355,0.111513,0.100000,66.783691
16,456,bernoulli_dropout,0.500000,B2_Mamba,76800,0.220019,0.175633,0.469062,0.115510,0.137478,5.569420,66.783691
16,456,contiguous_gap,1.000000,B0_Persistence,0,0.308922,0.129771,0.555807,0.019308,0.017303,0.500000,66.783691
16,456,contiguous_gap,1.000000,B1_Framewise,33344,0.214395,0.155636,0.463028,0.013400,0.020751,0.500000,66.783691
16,456,contiguous_gap,1.000000,B2_Mamba,76800,0.255021,0.185052,0.504996,0.015939,0.024674,0.500000,66.783691
16,456,contiguous_gap,2.000000,B0_Persistence,0,0.389464,0.153251,0.624070,0.048683,0.030952,0.500000,66.783691
16,456,contiguous_gap,2.000000,B1_Framewise,33344,0.217787,0.158303,0.466677,0.027223,0.031625,0.500000,66.783691
16,456,contiguous_gap,2.000000,B2_Mamba,76800,0.260923,0.181544,0.510806,0.032615,0.038055,0.500000,66.783691
16,456,contiguous_gap,4.000000,B0_Persistence,0,0.377987,0.146201,0.614806,0.094497,0.044896,0.500000,66.783691
16,456,contiguous_gap,4.000000,B1_Framewise,33344,0.215413,0.157353,0.464126,0.053853,0.049968,0.500000,66.783691
16,456,contiguous_gap,4.000000,B2_Mamba,76800,0.262592,0.179046,0.512437,0.065648,0.059829,0.500000,66.783691
16,456,contiguous_gap,8.000000,B0_Persistence,0,0.362505,0.154161,0.602084,0.181253,0.083613,0.500000,66.783691
